<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,14/12/21,00:00:00,306.9900000,320.0000000,289.7800000,319.3500000,168672960
GAZP,D,15/12/21,00:00:00,319.6500000,325.8300000,316.5000000,324.0900000,79742820
GAZP,D,16/12/21,00:00:00,326.1800000,332.3000000,325.3800000,328.3900000,95469330
GAZP,D,17/12/21,00:00:00,327.9800000,329.7000000,323.0300000,327.3000000,72099410
GAZP,D,20/12/21,00:00:00,324.0000000,326.0000000,316.1100000,325.9000000,70795770
GAZP,D,21/12/21,00:00:00,326.7500000,339.8800000,326.5000000,339.8800000,80061070
GAZP,D,22/12/21,00:00:00,340.0100000,349.5900000,339.2900000,345.5500000,96809420
GAZP,D,23/12/21,00:00:00,346.1000000,348.3200000,337.0000000,339.8100000,72129000
GAZP,D,24/12/21,00:00:00,339.3000000,340.9800000,334.5500000,338.7900000,39005950
GAZP,D,27/12/21,00:00:00,339.6800000,343.9700000,339.3300000,343.9700000,29925890
GAZP,D,28/12/21,00:00:00,344.0400000,346.6000000,342.5500000,343.2300000,34848840
GAZP,D,29/12/21,00:00:00,343.3000000,344.4800000,337.1300000,340.3300000,43005060
GAZP,D,30/12/21,00:00:00,340.7500000,344.0000000,337.4000000,342.3900000,40853240
