<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20/12/21;09:00:00;323.2600000;323.8500000;321.2500000;321.2500000;1288230
GAZP;60;20/12/21;10:00:00;321.2600000;323.3500000;320.3000000;322.0400000;4114890
GAZP;60;20/12/21;11:00:00;322.0400000;322.5000000;320.1300000;321.7900000;4607020
GAZP;60;20/12/21;12:00:00;321.8900000;322.3900000;316.1100000;318.1000000;10887270
GAZP;60;20/12/21;13:00:00;318.0000000;320.0000000;316.6400000;318.7900000;8193560
GAZP;60;20/12/21;14:00:00;318.8000000;322.3000000;318.6600000;320.6000000;6272050
GAZP;60;20/12/21;15:00:00;320.6300000;323.4600000;320.3200000;322.8800000;3688200
GAZP;60;20/12/21;16:00:00;322.8800000;324.5000000;321.9300000;322.7200000;6584740
GAZP;60;20/12/21;17:00:00;322.7200000;324.3000000;322.1100000;324.1500000;4978930
GAZP;60;20/12/21;18:00:00;324.1500000;325.5000000;322.5000000;323.8000000;6568070
GAZP;60;20/12/21;19:00:00;323.8000000;324.6400000;323.0000000;324.6400000;3258820
GAZP;60;20/12/21;20:00:00;324.1700000;324.9200000;323.2600000;324.1400000;1906940
GAZP;60;20/12/21;21:00:00;324.0500000;325.0000000;323.8100000;324.8900000;874230
GAZP;60;20/12/21;22:00:00;324.9700000;326.0000000;324.8300000;325.1200000;1428300
GAZP;60;20/12/21;23:00:00;325.0800000;326.0000000;325.0200000;325.7000000;601730
GAZP;60;21/12/21;00:00:00;325.7000000;325.9900000;325.5400000;325.9000000;775150
GAZP;60;21/12/21;08:00:00;326.7500000;330.0000000;326.5100000;329.2900000;2175740
GAZP;60;21/12/21;09:00:00;329.2900000;332.0000000;329.2500000;331.3600000;2406340
GAZP;60;21/12/21;10:00:00;331.3000000;331.9000000;330.5100000;330.5700000;2039060
GAZP;60;21/12/21;11:00:00;330.5700000;331.2400000;328.3000000;329.0300000;6391530
GAZP;60;21/12/21;12:00:00;329.0300000;330.3000000;328.0500000;329.5700000;5332200
GAZP;60;21/12/21;13:00:00;329.5700000;330.7600000;328.8000000;329.1400000;2980860
GAZP;60;21/12/21;14:00:00;329.2000000;330.4000000;326.5000000;328.0000000;4682040
GAZP;60;21/12/21;15:00:00;328.0000000;329.4300000;326.6900000;328.8600000;4262250
GAZP;60;21/12/21;16:00:00;328.7800000;331.5900000;328.7600000;331.4900000;5445400
GAZP;60;21/12/21;17:00:00;331.4700000;331.4900000;329.5900000;330.5400000;4313470
GAZP;60;21/12/21;18:00:00;330.6000000;337.6200000;330.3000000;337.3600000;17132730
GAZP;60;21/12/21;19:00:00;337.3600000;338.0000000;335.1100000;335.8400000;9022760
GAZP;60;21/12/21;20:00:00;337.0700000;339.7000000;337.0700000;338.5000000;6552290
GAZP;60;21/12/21;21:00:00;338.5900000;339.3900000;338.3300000;338.7200000;2004880
GAZP;60;21/12/21;22:00:00;338.7000000;339.8800000;338.5900000;339.1500000;2715750
GAZP;60;21/12/21;23:00:00;339.1500000;339.8600000;338.8000000;339.7800000;1008440
GAZP;60;22/12/21;00:00:00;339.7800000;339.8800000;339.2300000;339.8800000;1595330
GAZP;60;22/12/21;08:00:00;340.0100000;344.9300000;339.5500000;344.0000000;6020160
GAZP;60;22/12/21;09:00:00;344.1000000;344.1000000;342.4200000;343.0000000;3135560
GAZP;60;22/12/21;10:00:00;343.0000000;343.4300000;341.2000000;341.7000000;2449040
GAZP;60;22/12/21;11:00:00;341.5200000;342.9900000;339.2900000;341.2400000;8587900
GAZP;60;22/12/21;12:00:00;341.1900000;343.3500000;339.5000000;340.1500000;8460650
GAZP;60;22/12/21;13:00:00;340.2800000;341.8000000;340.0200000;341.0900000;5189680
GAZP;60;22/12/21;14:00:00;341.1400000;343.6800000;340.9000000;343.4500000;7649700
GAZP;60;22/12/21;15:00:00;343.4500000;347.4500000;343.0000000;345.9000000;9914790
GAZP;60;22/12/21;16:00:00;346.0000000;346.6800000;344.5000000;346.4600000;8429760
GAZP;60;22/12/21;17:00:00;346.4600000;348.0000000;345.0000000;347.2700000;7583500
GAZP;60;22/12/21;18:00:00;347.2800000;349.5900000;346.7000000;348.4700000;9481600
GAZP;60;22/12/21;19:00:00;348.5000000;348.7100000;347.3800000;347.6200000;7973940
GAZP;60;22/12/21;20:00:00;347.7500000;348.4800000;345.3800000;345.7000000;4172560
GAZP;60;22/12/21;21:00:00;345.7000000;345.8000000;343.7000000;344.7000000;4149970
GAZP;60;22/12/21;22:00:00;344.7500000;345.6400000;344.5000000;345.0400000;1360040
GAZP;60;22/12/21;23:00:00;345.0500000;346.9700000;344.7300000;346.5000000;1241730
GAZP;60;23/12/21;00:00:00;346.5000000;346.5500000;345.1200000;345.5500000;1008840
GAZP;60;23/12/21;08:00:00;346.1000000;348.3200000;345.1000000;347.8000000;2127440
GAZP;60;23/12/21;09:00:00;347.8000000;348.2700000;346.5000000;346.5500000;1356750
GAZP;60;23/12/21;10:00:00;346.5500000;347.4700000;346.4900000;347.4000000;1298400
GAZP;60;23/12/21;11:00:00;347.4000000;348.0000000;341.7900000;342.9800000;13052380
GAZP;60;23/12/21;12:00:00;342.9000000;345.2900000;342.6800000;345.1100000;4807310
GAZP;60;23/12/21;13:00:00;345.0300000;345.7000000;343.9000000;344.4600000;2778130
GAZP;60;23/12/21;14:00:00;344.4700000;345.4900000;342.3200000;342.8700000;3222110
GAZP;60;23/12/21;15:00:00;342.6700000;343.8700000;338.9500000;340.4200000;9523560
GAZP;60;23/12/21;16:00:00;340.3000000;341.5900000;337.0000000;339.3900000;10083790
GAZP;60;23/12/21;17:00:00;339.4000000;341.3500000;338.4800000;339.0400000;5299430
GAZP;60;23/12/21;18:00:00;339.0400000;342.9300000;338.6000000;340.4200000;5706440
GAZP;60;23/12/21;19:00:00;340.4200000;341.5800000;339.4300000;341.5800000;4397880
GAZP;60;23/12/21;20:00:00;341.0800000;342.5000000;340.7500000;342.0500000;2200800
GAZP;60;23/12/21;21:00:00;342.0500000;343.4000000;341.8600000;343.1400000;1381720
GAZP;60;23/12/21;22:00:00;343.1400000;344.0000000;342.1000000;342.3800000;1713280
